Mata Pelajaran / Paket,Soal,Opsi A,Opsi B,Opsi C,Opsi D,Opsi E,Kunci Jawaban (A/B/C/D/E),Pembahasan
B.Indo - Bantul,1. Makna kata artistik pada teks tersebut adalah,A. memiliki nilai seni,B. bermotif sederhana,C. seorang seniman/seniwat,D. berhubungan dengan artis,,,
B.Indo - Bantul,"2. Dalam proses membatik tersebut, mengapa kain perlu direndam pada larutan pengunci warna?",1. Untuk membuat kain menjadi lebih lembut dan halus.,2. Untuk mempercepat malam lebih cepat menempel pada kain.,3. Untuk mengikat warna secara permanen dan tidak mudah pudar.,4. Untuk memastikan hasil pewarnaan tetap awet dan warna tahan lama.,,,
B.Indo - Bantul,"3. Jika seorang siswa ingin mempraktikkan langkah nomor 6, manakah pernyataan berikut yang menunjukkan kesesuaian antara daftar alat bahan dengan langkah-langkah yang harus ia siapkan?",A. Siswa dapat menggunakan canting dan wadah besar untuk mengalirkan air mendidih...,B. Siswa memerlukan panci besar untuk memanaskan malam...,C. Siswa membutuhkan panci besar untuk merebus air agar malam...,D. Siswa harus memastikan telah menyiapkan kompor dan wajan...,,,
B.Indo - Bantul,4. Informasi yang tepat berdasarkan teks berita 'Safari Gemarikan' tersebut adalah...,1. Program Safari digalakkan sebagai upaya mencegah stunting.,"2. Diselenggarakan Sabtu, 12 Desember 2025.",3. Masyarakat perlu konsumsi ikan sumber protein.,4. Pemerintah menyalurkan 500 paket bantuan...,,,
B.Indo - Bantul,"5. Apabila anak-anak rajin mengonsumsi ikan, maka hal yang akan terjadi adalah (Benar/Salah)",A. Penglihatan mata anak menjadi lebih tajam.,B. Kecerdasan dan daya tahan tubuh anak meningkat.,C. Pertumbuhan psikis anak meningkat signifikan.,,,,
B.Indo - Bantul,6. Penilaian yang tepat terhadap berita 'Safari Gemarikan' tersebut adalah...,A. Mengandung kalimat langsung untuk memperkuat informasi.,B. Memiliki relevansi kuat dengan isu stunting.,C. Menyebutkan pihak-pihak yang hadir sebagai bentuk dukungan.,D. Tidak menjelaskan alasan pemerintah menyelenggarakan kegiatan.,,,
B.Indo - Bantul,7. Bagan yang tepat sesuai pokok-pokok isi teks 'Pelari Kalcer' adalah...,A. Perubahan fenomena lari -> Dampak positif/negatif -> Aktivitas meningkat,B. Fenomena Pelari Kalcer -> Dampak positif/negatif -> Simbol transformasi,C. Fenomena Pelari Modern -> Dampak positif/negatif -> Kata kalcer berasal,D. Perubahan fenomena -> Dampak positif/negatif -> Aktivitas meningkat,,,
B.Indo - Bantul,8. Ide pokok paragraf pertama teks 'Pelari Kalcer' adalah...,A. pandangan olahraga lari bagi sebagian orang,B. fenomena pelari yang sedang menjamur di Indonesia,C. asal usul kata kalcer yang sering digunakan anak muda,D. perubahan citra olahraga lari dari adanya fenomena pelari kalcer,,,
B.Indo - Bantul,"9. Berdasarkan teks, manakah fenomena yang relevan menggambarkan kategori pelari kalcer?",1. Atlet lari profesional melakukan latihan fisik.,2. Bella bergabung ke komunitas lari memakai pakaian kekinian.,3. Andi membeli sepatu terbaru dan mengunggah foto ke media sosial.,4. Shafa rutin lari di dalam rumah tanpa pakaian khusus.,,,
B.Indo - Bantul,10. Pernyataan yang tepat mengenai latar tempat dan suasana pada puisi 'Gadis Peminta-minta' (Benar/Salah),A. Frasa bawah jembatan menunjukkan tempat tinggal.,B. Larik kotaku jadi hilang menggambarkan latar menyedihkan.,C. Larik melintas di atas air kotor menggambarkan latar sepi.,,,,
B.Indo - Bantul,11. Makna kias pada larik 'gadis kecil berkaleng kecil' adalah...,A. Anak perempuan yang gemar menabung.,B. Seorang anak perempuan yang hidup menjadi pengemis.,C. Anak perempuan yang mencari nafkah menjadi pengamen.,D. Gambaran anak yang rajin membantu orang tuanya bekerja.,,,
B.Indo - Bantul,12. Pendapat siapa yang tepat untuk menggambarkan rasa empati setelah membaca puisi?,1. Luna karena menunjukkan rasa emosional haru.,2. Luthfi karena mengungkapkan pendapat semangat bekerja.,3. Naufal karena sependapat dengan Luna dan prihatin.,4. Cinta karena mengungkapkan persetujuan atas Luthfi.,,,
B.Indo - Bantul,13. Kerangka cerita secara runtut sesuai isi teks 'Panggung untuk Sena' adalah...,A. Gugup -> Senar putus -> Fajar meminjamkan gitar -> Tampil memukau,B. Gugup -> Senar putus -> Enggan menerima pinjaman -> Tampil,C. Gugup -> Nama dipanggil -> Tampil percaya diri -> Memukau,D. Gugup -> Senar putus -> Bingung -> Pinjaman guru,,,
B.Indo - Bantul,14. Kemungkinan yang akan terjadi pada hubungan Sena dan Fajar setelah festival berakhir...,A. Sena dan Fajar akan mulai sering berlatih musik bersama.,B. Fajar akan meminta bayaran sewa gitar.,C. Sena dan Fajar menjadi musuh dan adu kehebatan.,D. Sena akan membeli gitar Fajar karena bagus.,,,
